Reference,Temp [K],A,Ea [kJ/mol],Order
1982FUR/PAC916-920,690 - 1040,3.16E+15,276,1
1998DUB/LIF3299-3306,714 - 1250,8.13E+15,279,1
1990HOH/KER1414-1417,690 - 750,8.04E+14,268,1
1987HID/OKI212,1100 - 1450,4.60E+14,262,1
1986RIC/ROG408-414,809 - 912,1.58E+15,274,1
1982LEW/BOS803,983 - 1330,1.58E+15,272,1
1980NEW/DZA661-670,950 - 1050,1.23E+15,271,1
1978TSA599,1000 - 1200,1.26E+14,258,1
1978LEW/GIE277,1040 - 1210,1.58E+15,272,1
1975BAL/DAV972,801 - 868,5.75E+15,279,1
1974KUL/TAY216-220,873 - 1010,3.31E+14,268,1
1974BAR/COC1782,950 - 1090,2.04E+15,266,1
1973JEF/LEW3037,970 - 1260,1.58E+15,272,1
1973JEF/DAS545,980 - 1040,1.82E+15,280,1
1972JOH/PIP244-248,727 - 811,3.83E+15,277,1
1971DOR/MCG2526,935 - 1400,3.16E+14,273,1
1971BRA/FRE72,1060 - 1300,7.94E+11,230,1
1964DAV/SCO20-23,733 - 893,2.44E+15,274,1
1963PRA6050-6053,695 - 830,6.92E+14,269,1
1963KEN/PRI161-163,749 - 791,3.98E+11,239,1
1961FAL/HUN609-611,693 - 808,1.98E+15,273,1
1960SCH/RAB5996-6000,714 - 769,1.82E+15,276,1
1958LAN/PRI761-763,756 - 778,7.08E+15,283,1
1956LIN/ROL725-731,720 - 828,9.91E+14,269,1
1952PRI/SOW4472,760 - 770,1.48E+15,272,1
1945COR/PEA2067-2071,713 - 793,7.76E+14,273,1
1934CHA/KIS399-405,773 - 792,1.48E+15,272,1
